Category,Parent,Child,Participant,Session,Question_id,Source,Sentiment,Count,Weighted_Count
レイアウト,道,動線,P1,1,Q013,Interviewer,neutral,1,0.5
レイアウト,道,動線,P2,2,Q013,Interviewer,negative,1,0.0
レイアウト,道,動線,P2,2,Q013,Participant,negative,1,0.0
レイアウト,道,動線,P3,3,Q013,Interviewer,negative,1,0.0
レイアウト,道,動線,P4,4,Q013,Interviewer,neutral,1,0.5
レイアウト,道,動線,P5,5,Q013,Interviewer,negative,1,0.0
レイアウト,道,動線,P6,6,Q013,Interviewer,neutral,1,0.5
レイアウト,道,動線,P7,7,Q013,Interviewer,neutral,1,0.5
レイアウト,道,動線,P8,8,Q013,Interviewer,neutral,1,0.5
レイアウト,道,一直線,P2,2,Q013,Participant,negative,1,0.0
レイアウト,道,一直線,P6,6,Q013,Participant,neutral,2,1.0
レイアウト,道,U字型,P4,4,Q013,Participant,neutral,1,0.5
レイアウト,屋台配置,スペース,P4,4,Q003,Participant,positive,1,1.0
レイアウト,屋台配置,スペース,P5,5,Q001,Participant,positive,1,1.0
レイアウト,屋台配置,スペース,P6,6,Q003,Participant,negative,1,0.0
レイアウト,屋台配置,スペース,P6,6,Q007,Participant,neutral,1,0.5
レイアウト,屋台配置,スペース,P7,7,Q014,Participant,neutral,1,0.5
レイアウト,屋台配置,イートイン,P6,6,Q003,Participant,negative,1,0.0
レイアウト,屋台配置,イートイン,P6,6,Q007,Participant,neutral,1,0.5
レイアウト,ベンチ,椅子,P1,1,Q017,Participant,neutral,1,0.5
レイアウト,ベンチ,椅子,P5,5,Q001,Participant,positive,1,1.0
レイアウト,ベンチ,椅子,P7,7,Q014,Participant,neutral,1,0.5
レイアウト,ベンチ,椅子,P8,8,Q003,Participant,neutral,1,0.5
レイアウト,ベンチ,テーブル,P2,2,Q007,Participant,neutral,1,0.5
レイアウト,日陰,影,P1,1,Q002,Participant,neutral,1,0.5
レイアウト,日陰,影,P2,2,Q002,Participant,neutral,1,0.5
レイアウト,日陰,影,P5,5,Q002,Participant,neutral,1,0.5
レイアウト,日陰,影,P8,8,Q012,Participant,negative,1,0.0
レイアウト,日陰,コンクリート,P7,7,Q014,Participant,neutral,1,0.5
レイアウト,日陰,コンクリート,P7,7,Q012,Participant,negative,1,0.0
商品展示,ポップアップ,看板,P2,2,Q011,Participant,positive,1,1.0
商品展示,ポップアップ,看板,P2,2,Q009,Participant,neutral,1,0.5
商品展示,ポップアップ,看板,P5,5,Q003,Participant,negative,1,0.0
商品展示,ポップアップ,看板,P7,7,Q007,Participant,positive,1,1.0
商品展示,ポップアップ,看板,P8,8,Q008,Participant,negative,1,0.0
商品展示,ポップアップ,旗,P5,5,Q003,Participant,negative,2,0.0
商品展示,ポップアップ,のぼり,P5,5,Q003,Participant,negative,1,0.0
商品展示,花屋,ブーケ,P8,8,Q004,Participant,negative,1,0.0
商品展示,花屋,ブーケ,P8,8,Q010,Participant,negative,1,0.0
商品展示,花屋,彩り,P7,7,Q011,Participant,negative,1,0.0
商品展示,花屋,彩り,P7,7,Q010,Participant,negative,1,0.0
商品展示,飲食販売,魚,P1,1,Q006,Participant,positive,1,1.0
商品展示,飲食販売,魚,P2,2,Q014,Participant,neutral,1,0.5
商品展示,飲食販売,魚,P2,2,Q001,Participant,neutral,1,0.5
商品展示,飲食販売,魚,P3,3,Q011,Participant,positive,1,1.0
商品展示,飲食販売,魚,P3,3,Q003,Participant,neutral,1,0.5
商品展示,飲食販売,魚,P3,3,Q006,Participant,neutral,1,0.5
商品展示,飲食販売,魚,P3,3,Q007,Participant,neutral,1,0.5
商品展示,飲食販売,魚,P4,4,Q004,Participant,neutral,1,0.5
商品展示,飲食販売,魚,P4,4,Q017,Participant,neutral,1,0.5
商品展示,飲食販売,魚,P5,5,Q010,Participant,neutral,1,0.5
商品展示,飲食販売,魚,P6,6,Q001,Participant,negative,1,0.0
商品展示,飲食販売,魚,P7,7,Q001,Participant,positive,3,3.0
商品展示,飲食販売,ホットサンド,P2,2,Q014,Participant,neutral,1,0.5
商品展示,飲食販売,ホットサンド,P2,2,Q017,Participant,neutral,1,0.5
商品展示,飲食販売,ホットサンド,P4,4,Q004,Participant,neutral,1,0.5
商品展示,飲食販売,ホットサンド,P5,5,Q017,Participant,positive,1,1.0
商品展示,飲食販売,ホットサンド,P7,7,Q001,Participant,positive,1,1.0
商品展示,飲食販売,ホットサンド,P8,8,Q008,Participant,negative,2,0.0
商品展示,飲食販売,賄い漬け丼,P2,2,Q001,Participant,neutral,1,0.5
商品展示,飲食販売,賄い漬け丼,P2,2,Q017,Participant,neutral,1,0.5
商品展示,飲食販売,賄い漬け丼,P6,6,Q001,Participant,negative,1,0.0
商品展示,飲食販売,かき氷,P1,1,Q004,Participant,neutral,2,1.0
商品展示,飲食販売,かき氷,P1,1,Q011,Participant,neutral,1,0.5
商品展示,飲食販売,かき氷,P1,1,Q002,Participant,neutral,1,0.5
商品展示,飲食販売,かき氷,P1,1,Q014,Participant,negative,1,0.0
商品展示,飲食販売,かき氷,P1,1,Q015,Participant,neutral,1,0.5
商品展示,飲食販売,かき氷,P1,1,Q001,Participant,neutral,2,1.0
商品展示,飲食販売,かき氷,P2,2,Q002,Participant,neutral,1,0.5
商品展示,飲食販売,かき氷,P2,2,Q017,Participant,neutral,1,0.5
商品展示,飲食販売,かき氷,P3,3,Q004,Participant,neutral,1,0.5
商品展示,飲食販売,かき氷,P3,3,Q002,Participant,negative,1,0.0
商品展示,飲食販売,かき氷,P3,3,Q014,Participant,neutral,1,0.5
商品展示,飲食販売,かき氷,P3,3,Q017,Participant,neutral,1,0.5
商品展示,飲食販売,かき氷,P4,4,Q004,Participant,neutral,1,0.5
商品展示,飲食販売,かき氷,P4,4,Q002,Participant,negative,1,0.0
商品展示,飲食販売,かき氷,P4,4,Q017,Participant,neutral,1,0.5
商品展示,飲食販売,かき氷,P6,6,Q002,Participant,negative,1,0.0
商品展示,飲食販売,鮮魚,P6,6,Q001,Participant,negative,1,0.0
商品展示,飲食販売,鮮魚,P7,7,Q001,Participant,positive,1,1.0
商品展示,飲食販売,パン,P4,4,Q017,Participant,neutral,1,0.5
商品展示,飲食販売,パン,P7,7,Q001,Participant,positive,1,1.0
商品展示,飲食販売,パン,P8,8,Q010,Participant,negative,2,0.0
商品展示,飲食販売,パン,P8,8,Q017,Participant,negative,1,0.0
商品展示,飲食販売,お菓子,P4,4,Q017,Participant,neutral,1,0.5
商品展示,飲食販売,お菓子,P8,8,Q003,Participant,neutral,1,0.5
商品展示,飲食販売,お菓子,P8,8,Q006,Participant,positive,2,2.0
商品展示,飲食販売,スイーツ,P8,8,Q017,Participant,negative,2,0.0
商品展示,雑貨,ハンドメイド,P2,2,Q006,Participant,positive,1,1.0
商品展示,雑貨,インテリア,P5,5,Q008,Participant,negative,1,0.0
商品展示,雑貨,インテリア,P7,7,Q006,Participant,neutral,1,0.5
子ども向けスペースイベント,子ども,家族,P2,2,Q005,Participant,positive,1,1.0
子ども向けスペースイベント,子ども,子連れ,P5,5,Q005,Participant,negative,1,0.0
子ども向けスペースイベント,子ども,小学生,P8,8,Q011,Participant,neutral,1,0.5
子ども向けスペースイベント,体験,金魚すくい,P1,1,Q006,Participant,positive,1,1.0
子ども向けスペースイベント,体験,金魚すくい,P3,3,Q003,Participant,neutral,1,0.5
子ども向けスペースイベント,体験,金魚すくい,P3,3,Q006,Participant,neutral,1,0.5
子ども向けスペースイベント,体験,金魚すくい,P3,3,Q007,Participant,neutral,1,0.5
子ども向けスペースイベント,体験,射的,P6,6,Q006,Participant,neutral,1,0.5
子ども向けスペースイベント,体験,アミューズメント,P1,1,Q003,Participant,neutral,1,0.5
子ども向けスペースイベント,体験,アミューズメント,P1,1,Q006,Participant,positive,1,1.0
子ども向けスペースイベント,体験,アミューズメント,P1,1,Q001,Participant,neutral,1,0.5
子ども向けスペースイベント,体験,遊ぶ,P7,7,Q014,Participant,neutral,1,0.5
子ども向けスペースイベント,体験,祭り,P1,1,Q003,Participant,neutral,1,0.5
子ども向けスペースイベント,体験,祭り,P2,2,Q010,Participant,negative,1,0.0
子ども向けスペースイベント,体験,祭り,P5,5,Q003,Participant,negative,1,0.0
子ども向けスペースイベント,体験,祭り,P7,7,Q010,Participant,negative,1,0.0
子ども向けスペースイベント,体験,祭り,P7,7,Q007,Participant,positive,1,1.0
子ども向けスペースイベント,体験,夏,P1,1,Q002,Participant,neutral,1,0.5
子ども向けスペースイベント,体験,夏,P2,2,Q002,Participant,neutral,2,1.0
子ども向けスペースイベント,体験,夏,P3,3,Q002,Participant,negative,1,0.0
子ども向けスペースイベント,体験,夏,P4,4,Q002,Participant,negative,2,0.0
子ども向けスペースイベント,体験,夏,P5,5,Q002,Participant,neutral,2,1.0
子ども向けスペースイベント,体験,夏,P5,5,Q017,Participant,positive,1,1.0
子ども向けスペースイベント,体験,夏,P6,6,Q002,Participant,negative,1,0.0
子ども向けスペースイベント,体験,夏,P7,7,Q002,Participant,negative,2,0.0
子ども向けスペースイベント,体験,夏,P7,7,Q010,Participant,negative,2,0.0
子ども向けスペースイベント,体験,夏,P8,8,Q012,Participant,negative,1,0.0
子ども向けスペースイベント,体験,楽しむ,P3,3,Q003,Participant,neutral,1,0.5
子ども向けスペースイベント,体験,体験型,P6,6,Q010,Participant,negative,1,0.0
子ども向けスペースイベント,体験,体験型,P6,6,Q006,Participant,neutral,1,0.5
子ども向けスペースイベント,お菓子,ポップコーン,P8,8,Q006,Participant,positive,1,1.0
子ども向けスペースイベント,お菓子,ポップコーン,P8,8,Q017,Participant,negative,2,0.0
子ども向けスペースイベント,お菓子,ドーナツ,P8,8,Q006,Participant,positive,1,1.0
子ども向けスペースイベント,休憩スペース,日陰,P8,8,Q003,Participant,neutral,1,0.5
子ども向けスペースイベント,休憩スペース,影,P1,1,Q002,Participant,neutral,1,0.5
子ども向けスペースイベント,休憩スペース,影,P2,2,Q002,Participant,neutral,1,0.5
子ども向けスペースイベント,休憩スペース,影,P5,5,Q002,Participant,neutral,1,0.5
子ども向けスペースイベント,休憩スペース,影,P8,8,Q012,Participant,negative,1,0.0
子ども向けスペースイベント,屋台,屋台,P2,2,Q003,Participant,positive,1,1.0
子ども向けスペースイベント,屋台,屋台,P2,2,Q001,Participant,neutral,2,1.0
子ども向けスペースイベント,屋台,屋台,P4,4,Q001,Participant,neutral,1,0.5
子ども向けスペースイベント,屋台,屋台,P5,5,Q004,Participant,negative,1,0.0
子ども向けスペースイベント,屋台,屋台,P5,5,Q010,Participant,neutral,1,0.5
子ども向けスペースイベント,屋台,屋台,P6,6,Q014,Participant,negative,1,0.0
広告,看板,ポップアップ,P1,1,Q008,Interviewer,positive,1,1.0
広告,看板,ポップアップ,P1,1,Q014,Participant,negative,1,0.0
広告,看板,ポップアップ,P1,1,Q010,Participant,neutral,1,0.5
広告,看板,ポップアップ,P2,2,Q008,Interviewer,negative,1,0.0
広告,看板,ポップアップ,P2,2,Q008,Participant,negative,1,0.0
広告,看板,ポップアップ,P3,3,Q008,Interviewer,negative,1,0.0
広告,看板,ポップアップ,P4,4,Q008,Interviewer,neutral,1,0.5
広告,看板,ポップアップ,P5,5,Q008,Interviewer,negative,1,0.0
広告,看板,ポップアップ,P6,6,Q008,Interviewer,neutral,1,0.5
広告,看板,ポップアップ,P6,6,Q008,Participant,neutral,1,0.5
広告,看板,ポップアップ,P6,6,Q002,Participant,negative,1,0.0
広告,看板,ポップアップ,P7,7,Q008,Interviewer,negative,1,0.0
広告,看板,ポップアップ,P8,8,Q008,Interviewer,negative,1,0.0
広告,看板,旗,P5,5,Q003,Participant,negative,2,0.0
広告,看板,のぼり,P5,5,Q003,Participant,negative,1,0.0
広告,看板,ボード,P7,7,Q007,Participant,positive,2,2.0
広告,デザイン,プロモーション,P8,8,Q007,Participant,neutral,1,0.5
広告,デザイン,カスタマイズ,P8,8,Q007,Participant,neutral,1,0.5
広告,デザイン,統一感,P8,8,Q007,Participant,neutral,1,0.5
広告,デザイン,雰囲気,P1,1,Q016,Participant,positive,2,2.0
広告,デザイン,雰囲気,P2,2,Q016,Participant,neutral,1,0.5
広告,デザイン,雰囲気,P2,2,Q009,Participant,neutral,2,1.0
広告,デザイン,雰囲気,P4,4,Q005,Participant,neutral,1,0.5
広告,デザイン,雰囲気,P5,5,Q011,Participant,neutral,1,0.5
広告,デザイン,雰囲気,P5,5,Q010,Participant,neutral,1,0.5
広告,デザイン,雰囲気,P5,5,Q001,Participant,positive,1,1.0
広告,デザイン,雰囲気,P7,7,Q007,Participant,positive,1,1.0
広告,デザイン,雰囲気,P7,7,Q016,Participant,negative,1,0.0
広告,デザイン,雰囲気,P8,8,Q016,Participant,negative,2,0.0
広告,デザイン,色,P7,7,Q010,Participant,negative,1,0.0
広告,デザイン,色,P7,7,Q003,Participant,negative,1,0.0
広告,デザイン,彩り,P7,7,Q011,Participant,negative,1,0.0
広告,デザイン,彩り,P7,7,Q010,Participant,negative,1,0.0
広告,飾り付け,目立つ,P5,5,Q008,Participant,negative,1,0.0
広告,飾り付け,イベント感,P4,4,Q001,Participant,neutral,1,0.5
