Category,Parent,Child,Participant,negative,neutral,positive,Total,Net_Sentiment,Weighted_Total
レイアウト,ベンチ,テーブル,P2,0,1,0,1,0,0.5
レイアウト,ベンチ,椅子,P1,0,1,0,1,0,0.5
レイアウト,ベンチ,椅子,P5,0,0,1,1,1,1.0
レイアウト,ベンチ,椅子,P7,0,1,0,1,0,0.5
レイアウト,ベンチ,椅子,P8,0,1,0,1,0,0.5
レイアウト,屋台配置,イートイン,P6,1,1,0,2,-1,0.5
レイアウト,屋台配置,スペース,P4,0,0,1,1,1,1.0
レイアウト,屋台配置,スペース,P5,0,0,1,1,1,1.0
レイアウト,屋台配置,スペース,P6,1,1,0,2,-1,0.5
レイアウト,屋台配置,スペース,P7,0,1,0,1,0,0.5
レイアウト,日陰,コンクリート,P7,1,1,0,2,-1,0.5
レイアウト,日陰,影,P1,0,1,0,1,0,0.5
レイアウト,日陰,影,P2,0,1,0,1,0,0.5
レイアウト,日陰,影,P5,0,1,0,1,0,0.5
レイアウト,日陰,影,P8,1,0,0,1,-1,0.0
レイアウト,道,U字型,P4,0,1,0,1,0,0.5
レイアウト,道,一直線,P2,1,0,0,1,-1,0.0
レイアウト,道,一直線,P6,0,2,0,2,0,1.0
レイアウト,道,動線,P1,0,1,0,1,0,0.5
レイアウト,道,動線,P2,2,0,0,2,-2,0.0
レイアウト,道,動線,P3,1,0,0,1,-1,0.0
レイアウト,道,動線,P4,0,1,0,1,0,0.5
レイアウト,道,動線,P5,1,0,0,1,-1,0.0
レイアウト,道,動線,P6,0,1,0,1,0,0.5
レイアウト,道,動線,P7,0,1,0,1,0,0.5
レイアウト,道,動線,P8,0,1,0,1,0,0.5
商品展示,ポップアップ,のぼり,P5,1,0,0,1,-1,0.0
商品展示,ポップアップ,旗,P5,2,0,0,2,-2,0.0
商品展示,ポップアップ,看板,P2,0,1,1,2,1,1.5
商品展示,ポップアップ,看板,P5,1,0,0,1,-1,0.0
商品展示,ポップアップ,看板,P7,0,0,1,1,1,1.0
商品展示,ポップアップ,看板,P8,1,0,0,1,-1,0.0
商品展示,花屋,ブーケ,P8,2,0,0,2,-2,0.0
商品展示,花屋,彩り,P7,2,0,0,2,-2,0.0
商品展示,雑貨,インテリア,P5,1,0,0,1,-1,0.0
商品展示,雑貨,インテリア,P7,0,1,0,1,0,0.5
商品展示,雑貨,ハンドメイド,P2,0,0,1,1,1,1.0
商品展示,飲食販売,お菓子,P4,0,1,0,1,0,0.5
商品展示,飲食販売,お菓子,P8,0,1,2,3,2,2.5
商品展示,飲食販売,かき氷,P1,1,7,0,8,-1,3.5
商品展示,飲食販売,かき氷,P2,0,2,0,2,0,1.0
商品展示,飲食販売,かき氷,P3,1,3,0,4,-1,1.5
商品展示,飲食販売,かき氷,P4,1,2,0,3,-1,1.0
商品展示,飲食販売,かき氷,P6,1,0,0,1,-1,0.0
商品展示,飲食販売,スイーツ,P8,2,0,0,2,-2,0.0
商品展示,飲食販売,パン,P4,0,1,0,1,0,0.5
商品展示,飲食販売,パン,P7,0,0,1,1,1,1.0
商品展示,飲食販売,パン,P8,3,0,0,3,-3,0.0
商品展示,飲食販売,ホットサンド,P2,0,2,0,2,0,1.0
商品展示,飲食販売,ホットサンド,P4,0,1,0,1,0,0.5
商品展示,飲食販売,ホットサンド,P5,0,0,1,1,1,1.0
商品展示,飲食販売,ホットサンド,P7,0,0,1,1,1,1.0
商品展示,飲食販売,ホットサンド,P8,2,0,0,2,-2,0.0
商品展示,飲食販売,賄い漬け丼,P2,0,2,0,2,0,1.0
商品展示,飲食販売,賄い漬け丼,P6,1,0,0,1,-1,0.0
商品展示,飲食販売,魚,P1,0,0,1,1,1,1.0
商品展示,飲食販売,魚,P2,0,2,0,2,0,1.0
商品展示,飲食販売,魚,P3,0,3,1,4,1,2.5
商品展示,飲食販売,魚,P4,0,2,0,2,0,1.0
商品展示,飲食販売,魚,P5,0,1,0,1,0,0.5
商品展示,飲食販売,魚,P6,1,0,0,1,-1,0.0
商品展示,飲食販売,魚,P7,0,0,3,3,3,3.0
商品展示,飲食販売,鮮魚,P6,1,0,0,1,-1,0.0
商品展示,飲食販売,鮮魚,P7,0,0,1,1,1,1.0
子ども向けスペースイベント,お菓子,ドーナツ,P8,0,0,1,1,1,1.0
子ども向けスペースイベント,お菓子,ポップコーン,P8,2,0,1,3,-1,1.0
子ども向けスペースイベント,休憩スペース,影,P1,0,1,0,1,0,0.5
子ども向けスペースイベント,休憩スペース,影,P2,0,1,0,1,0,0.5
子ども向けスペースイベント,休憩スペース,影,P5,0,1,0,1,0,0.5
子ども向けスペースイベント,休憩スペース,影,P8,1,0,0,1,-1,0.0
子ども向けスペースイベント,休憩スペース,日陰,P8,0,1,0,1,0,0.5
子ども向けスペースイベント,体験,アミューズメント,P1,0,2,1,3,1,2.0
子ども向けスペースイベント,体験,体験型,P6,1,1,0,2,-1,0.5
子ども向けスペースイベント,体験,夏,P1,0,1,0,1,0,0.5
子ども向けスペースイベント,体験,夏,P2,0,2,0,2,0,1.0
子ども向けスペースイベント,体験,夏,P3,1,0,0,1,-1,0.0
子ども向けスペースイベント,体験,夏,P4,2,0,0,2,-2,0.0
子ども向けスペースイベント,体験,夏,P5,0,2,1,3,1,2.0
子ども向けスペースイベント,体験,夏,P6,1,0,0,1,-1,0.0
子ども向けスペースイベント,体験,夏,P7,4,0,0,4,-4,0.0
子ども向けスペースイベント,体験,夏,P8,1,0,0,1,-1,0.0
子ども向けスペースイベント,体験,射的,P6,0,1,0,1,0,0.5
子ども向けスペースイベント,体験,楽しむ,P3,0,1,0,1,0,0.5
子ども向けスペースイベント,体験,祭り,P1,0,1,0,1,0,0.5
子ども向けスペースイベント,体験,祭り,P2,1,0,0,1,-1,0.0
子ども向けスペースイベント,体験,祭り,P5,1,0,0,1,-1,0.0
子ども向けスペースイベント,体験,祭り,P7,1,0,1,2,0,1.0
子ども向けスペースイベント,体験,遊ぶ,P7,0,1,0,1,0,0.5
子ども向けスペースイベント,体験,金魚すくい,P1,0,0,1,1,1,1.0
子ども向けスペースイベント,体験,金魚すくい,P3,0,3,0,3,0,1.5
子ども向けスペースイベント,子ども,子連れ,P5,1,0,0,1,-1,0.0
子ども向けスペースイベント,子ども,家族,P2,0,0,1,1,1,1.0
子ども向けスペースイベント,子ども,小学生,P8,0,1,0,1,0,0.5
子ども向けスペースイベント,屋台,屋台,P2,0,2,1,3,1,2.0
子ども向けスペースイベント,屋台,屋台,P4,0,1,0,1,0,0.5
子ども向けスペースイベント,屋台,屋台,P5,1,1,0,2,-1,0.5
子ども向けスペースイベント,屋台,屋台,P6,1,0,0,1,-1,0.0
広告,デザイン,カスタマイズ,P8,0,1,0,1,0,0.5
広告,デザイン,プロモーション,P8,0,1,0,1,0,0.5
広告,デザイン,彩り,P7,2,0,0,2,-2,0.0
広告,デザイン,統一感,P8,0,1,0,1,0,0.5
広告,デザイン,色,P7,2,0,0,2,-2,0.0
広告,デザイン,雰囲気,P1,0,0,2,2,2,2.0
広告,デザイン,雰囲気,P2,0,3,0,3,0,1.5
広告,デザイン,雰囲気,P4,0,1,0,1,0,0.5
広告,デザイン,雰囲気,P5,0,2,1,3,1,2.0
広告,デザイン,雰囲気,P7,1,0,1,2,0,1.0
広告,デザイン,雰囲気,P8,2,0,0,2,-2,0.0
広告,看板,のぼり,P5,1,0,0,1,-1,0.0
広告,看板,ボード,P7,0,0,2,2,2,2.0
広告,看板,ポップアップ,P1,1,1,1,3,0,1.5
広告,看板,ポップアップ,P2,2,0,0,2,-2,0.0
広告,看板,ポップアップ,P3,1,0,0,1,-1,0.0
広告,看板,ポップアップ,P4,0,1,0,1,0,0.5
広告,看板,ポップアップ,P5,1,0,0,1,-1,0.0
広告,看板,ポップアップ,P6,1,2,0,3,-1,1.0
広告,看板,ポップアップ,P7,1,0,0,1,-1,0.0
広告,看板,ポップアップ,P8,1,0,0,1,-1,0.0
広告,看板,旗,P5,2,0,0,2,-2,0.0
広告,飾り付け,イベント感,P4,0,1,0,1,0,0.5
広告,飾り付け,目立つ,P5,1,0,0,1,-1,0.0
